OrderID,SkuID,Quantity
Order54,Sku1628,1
Order54,Sku1545,2
Order54,Sku1531,2
Order55,Sku1283,1
Order55,Sku1511,1
Order55,Sku1234,2
Order55,Sku544,2
Order55,Sku1899,2
Order56,Sku817,1
Order57,Sku1455,3
Order58,Sku665,3
Order58,Sku1415,2
Order59,Sku944,2
Order59,Sku607,1
Order60,Sku1494,1
Order60,Sku228,2
Order60,Sku835,2
Order60,Sku1978,3
Order60,Sku507,2
Order61,Sku1241,3
Order61,Sku609,2
Order62,Sku1215,1
Order62,Sku1562,1
Order62,Sku1924,2
Order63,Sku1413,1
Order63,Sku452,1
Order63,Sku605,1
Order64,Sku207,3
Order64,Sku1723,2
Order64,Sku5,1
Order64,Sku52,2
Order65,Sku1936,1
Order65,Sku1473,3
Order65,Sku1871,1
Order65,Sku468,1
Order65,Sku612,3
Order66,Sku1563,3
Order66,Sku1412,1
Order66,Sku50,3
Order67,Sku1724,2
Order67,Sku1850,1
Order67,Sku725,3
Order68,Sku554,3
Order69,Sku291,3
Order69,Sku520,3
Order69,Sku1470,2
Order69,Sku295,3
Order69,Sku1380,2
Order70,Sku1998,3
Order70,Sku1993,3
Order70,Sku1162,3
Order70,Sku1328,2
Order70,Sku1104,1
Order71,Sku1278,1
Order71,Sku878,3
Order71,Sku1680,3
Order72,Sku1199,3
Order72,Sku25,2
Order72,Sku259,2
Order73,Sku1365,1
Order74,Sku1264,3
Order75,Sku59,3
Order75,Sku1323,1
Order75,Sku1715,1
Order75,Sku1832,1
Order76,Sku77,2
Order77,Sku1831,2
Order78,Sku306,1
Order78,Sku1718,3
Order78,Sku1106,2
Order78,Sku644,1
Order79,Sku1930,2
Order80,Sku1944,2
Order80,Sku192,2
Order80,Sku605,1
Order81,Sku1932,1
Order82,Sku735,3
Order82,Sku126,3
Order82,Sku947,2
Order82,Sku411,1
Order83,Sku899,3
Order83,Sku138,3
Order83,Sku1321,2
Order83,Sku667,2
Order84,Sku1104,2
Order84,Sku795,2
Order85,Sku914,1
Order86,Sku1840,1
Order86,Sku1015,1
Order86,Sku856,2
Order86,Sku1327,1
Order87,Sku704,1
Order87,Sku1669,1
Order87,Sku948,2
Order87,Sku1388,1
Order88,Sku1883,2
Order88,Sku1936,3
Order89,Sku320,2
Order89,Sku644,3
Order90,Sku1145,3
Order91,Sku1282,1
Order92,Sku1114,2
Order93,Sku254,2
Order93,Sku1357,2
Order94,Sku533,2
Order94,Sku151,3
Order94,Sku202,3
Order95,Sku48,3
Order96,Sku609,1
Order96,Sku1724,2
Order97,Sku547,1
Order97,Sku1280,1
Order97,Sku1177,2
Order97,Sku296,1
Order98,Sku1485,3
Order98,Sku784,1
Order98,Sku182,2
Order98,Sku423,2
Order99,Sku1642,1
